Gene Symbol,gene description from mart,GO from mart,GO from mart,ENTREZ GENE ID,biological process,Fold change
Os01g0141100,Similar to Salt-induced AAA-Type ATPase,GO:0005634,nucleus,4346944,single organism process,-1.824790499
Os01g0141100,,,,,single organism process,-3.138288319
Os01g0141300,Similar to vacuolar sorting protein 4b,GO:0016887,ATPase activity,,single organism process,2.086828709
Os01g0141600,Protein of unknown function DUF647 family protein,GO:0032502,developmental process,4334987,single organism process,1.738792551
Os01g0141600,Protein of unknown function DUF647 family protein,GO:0032502,developmental process,4334987,single organism process,1.380662037
Os01g0141700,Similar to predicted protein,GO:0080008,Cul4-RING E3 ubiquitin ligase complex,4332414,single organism process,2.331627765
Os01g0141900,Conserved hypothetical protein,GO:0043622,cortical microtubule organization,4341033,single organism process,-2.197837125
Os01g0142100,Peptidase M50 family protein,GO:0016021,integral component of membrane,4332057,single organism process,1.257442184
Os01g0142200,Kinase binding protein CGI-121 domain containing protein,GO:0005634,nucleus,4327617,single organism process,1.296568953
Os01g0142300,"Glycosyl transferase, group 1 domain containing protein",GO:0009247,glycolipid biosynthetic process,4327002,single organism process,1.717286121
Os01g0142500,,,,4327573,single organism process,2.908054977
Os01g0142500,,,,4327574,single organism process,3.100435228
Os01g0142800,"Putative peptide transporter, Long-distance translocation of dimethylarsinate to rice grai",GO:0022857,transmembrane transporter activity,,single organism process,4.683542816
Os01g0142800,Conserved hypothetical protein,,,4338719,single organism process,-1.992253114
Os01g0143100,Adenine nucleotide translocator 1 domain containing protein,GO:0022857,transmembrane transporter activity,4333037,single organism process,-2.342870375
Os01g0143300,Similar to Glycine-rich protein (Fragment),GO:0005759,mitochondrial matrix,4327527,single organism process,-3.0201914
Os01g0143400,Protein of unknown function DUF594 domain containing protein,,,,single organism process,-2.394647322
Os01g0143700,Similar to Mitochondrial glycoprotein,GO:0005759,mitochondrial matrix,4349131,single organism process,-1.214362547
Os01g0143800,Mitochondrial glycoprotein family protein,GO:0005759,mitochondrial matrix,4327100,single organism process,-1.234098907
Os01g0143900,Conserved hypothetical protein,,,4328363,single organism process,1.881810624
Os01g0144000,Conserved hypothetical protein,GO:0016021,integral component of membrane,4324881,single organism process,4.61922132
Os01g0144100,"Similar to Thylakoid lumenal 15 kDa protein, chloroplast precursor (p15)",GO:0009534,chloroplast thylakoid,4326508,single organism process,1.713020145
Os01g0144200,Vacuolar import and degradation protein Vid24 domain containing protein,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,4326513,single organism process,-2.634938545
Os01g0144300,Conserved hypothetical protein,GO:0009737,response to abscisic acid,9266352,single organism process,1.310887019
Os01g0144300,Conserved hypothetical protein,GO:0009737,response to abscisic acid,,single organism process,0.660213984
Os01g0144340,Similar to Actin-related protein 5,GO:0005634,nucleus,4330541,single organism process,2.018598798
Os01g0144500,Ubiquitin fusion degradation protein UFD1 domain containing protein,GO:0006511,ubiquitin-dependent protein catabolic process,,single organism process,1.650489722
Os01g0144600,Conserved hypothetical protein,GO:0000460,maturation of 5.8S rRNA,4327246,single organism process,3.392541946
Os01g0144700,Conserved hypothetical protein,GO:0016021,integral component of membrane,4334425,single organism process,-1.072997827
Os01g0144700,Conserved hypothetical protein,GO:0016021,integral component of membrane,4334425,single organism process,-2.7446855
Os01g0144700,,,,4349293,single organism process,-2.019528942
Os01g0144800,Protein of unknown function DUF3681 domain containing protein,GO:0016021,integral component of membrane,4332699,single organism process,4.322992775
Os01g0144800,,,,,single organism process,1.784228643
Os01g0144900,Hypothetical protein,,,4342650,single organism process,3.136989617
Os01g0144900,,,,,single organism process,1.893503948
Os01g0145000,Hypothetical conserved gene,GO:0016021,integral component of membrane,,single organism process,-3.849637946
Os01g0145000,Hypothetical conserved gene,GO:0016021,integral component of membrane,,single organism process,-2.459823985
Os01g0145000,Hypothetical conserved gene,GO:0016021,integral component of membrane,,single organism process,-1.44822069
Os01g0145600,Conserved hypothetical protein,,,4342100,single organism process,2.114920058
Os01g0145600,,,,,single organism process,-1.553097798
Os01g0146101,Conserved hypothetical protein,,,4335173,single organism process,1.936719686
Os01g0146200,Protein of unknown function DUF3681 domain containing protein,GO:0016021,integral component of membrane,,single organism process,-3.135429708
Os01g0146600,Conserved hypothetical protein,,,9272448,single organism process,-2.747887085
Os01g0146801,Conserved hypothetical protein,,,4340251,single organism process,1.721037234
Os01g0147200,"IWS1, C-terminal family protein",GO:0005634,nucleus,4327379,single organism process,1.975030726
Os01g0147200,"IWS1, C-terminal family protein",,,4343210,single organism process,6.734147235
Os01g0147300,Similar to membrane protein,GO:0008233,peptidase activity,4338000,single organism process,-2.142000153
Os01g0147300,Similar to membrane protein,GO:0008233,peptidase activity,,single organism process,-1.566133395
Os01g0147400,Uncharacterised domain XH domain containing protein,,,,single organism process,4.355040974
Os01g0147600,Conserved hypothetical protein,,,9271144,single organism process,-2.187968652
Os01g0147600,,,,,single organism process,1.946849919
Os01g0147600,Conserved hypothetical protein,,,,single organism process,-1.848330043
Os01g0147600,,,,,single organism process,-3.271937668
Os01g0147700,Region of unknown function XH domain containing protein,GO:0031047,gene silencing by RNA,9269541,single organism process,1.751387372
Os01g0147800,Domain of unknown function DUF547 domain containing protein,,,4333089,single organism process,-3.322822817
Os01g0147900,"Triosephosphate isomerase, Glycolytic enzyme, Key component in XA3/XA26-mediated resistance to Xo",GO:0004807,triose-phosphate isomerase activity,4324680,single organism process,2.311536274
Os01g0147900,,,,4329642,single organism process,1.553483381
Os01g0148000,Hypothetical conserved gene,GO:0000151,ubiquitin ligase complex,4347278,single organism process,1.37049881
Os01g0148000,Hypothetical conserved gene,GO:0000151,ubiquitin ligase complex,4347279,single organism process,1.755950842
Os01g0148000,Hypothetical conserved gene,GO:0000151,ubiquitin ligase complex,,single organism process,-0.812154396
Os01g0148050,Hypothetical conserved gene,GO:0000151,ubiquitin ligase complex,4336197,single organism process,1.290207388
Os01g0148100,Conserved hypothetical protein,,,4338094,single organism process,3.200027302
Os01g0148100,,,,,single organism process,-1.090797329
Os01g0148200,Hypothetical protein,GO:0016021,integral component of membrane,4332967,single organism process,-2.233663534
Os01g0148400,Brix domain containing protein,GO:0005730,nucleolus,9270211,single organism process,3.478188666
Os01g0148400,Brix domain containing protein,GO:0005730,nucleolus,4334864,single organism process,-1.098568435
Os01g0148500,"Protein of unknown function DUF1677, Oryza sativa family protein",GO:0005515,protein binding,,single organism process,3.126758986
Os01g0148500,,,,4349298,single organism process,-1.090634445
Os01g0148700,"Protein of unknown function DUF1677, Oryza sativa family protein",,,,response to endogenous stimulus,2.659239913
Os01g0149200,Hypothetical gene,GO:0046872,metal ion binding,4334067,response to endogenous stimulus,0.710987695
Os01g0149200,Hypothetical gene,GO:0046872,metal ion binding,4334068,response to endogenous stimulus,1.697056771
Os01g0149200,Metallothionein-like protein type 2,GO:0046872,metal ion binding,4336384,response to endogenous stimulus,4.284311765
Os01g0149500,"NBS-LRR domain-containing protein, Rice blast disease resistanc",GO:0043531,ADP binding,4333614,response to endogenous stimulus,2.20815339
Os01g0149500,"NBS-LRR domain-containing protein, Rice blast disease resistanc",GO:0043531,ADP binding,4333615,response to endogenous stimulus,-1.74799846
Os01g0149700,Hypothetical conserved gene,GO:0005515,protein binding,,response to endogenous stimulus,-2.186093275
Os01g0149750,Hypothetical protein,GO:0000786,nucleosome,4328562,response to endogenous stimulus,1.901698589
Os01g0149800,Metallothionein-like protein type 2,GO:0046872,metal ion binding,4343707,response to endogenous stimulus,2.273013695
Os01g0149900,Conserved hypothetical protein,,,107277446,response to endogenous stimulus,3.149867659
Os01g0150000,Similar to Synaptic glycoprotein SC2,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",4346145,response to endogenous stimulus,-1.537915589
Os01g0150100,Similar to Geranylgeranyltransferase type I beta subunit,GO:0018342,protein prenylation,4327668,response to endogenous stimulus,2.21472732
Os01g0150100,Similar to Geranylgeranyltransferase type I beta subunit,GO:0018342,protein prenylation,4324443,response to endogenous stimulus,1.844013208
Os01g0150500,Similar to 3-hydroxyacyl-CoA dehydratase PASTICCINO 2A,GO:0006633,fatty acid biosynthetic process,,response to endogenous stimulus,1.993478077
Os01g0150800,"Protein-tyrosine phosphatase-like, PTPLA domain containing protein",GO:0006633,fatty acid biosynthetic process,4333851,response to endogenous stimulus,-1.15735818
Os01g0150800,,,,4349249,response to endogenous stimulus,1.117510755
Os01g0150900,Conserved hypothetical protein,,,4334841,response to endogenous stimulus,3.250842529
Os01g0150900,,,,4341865,response to endogenous stimulus,1.104343922
Os01g0150900,,,,,response to endogenous stimulus,-1.743843876
Os01g0150950,Conserved hypothetical protein,,,,response to endogenous stimulus,3.868536357
Os01g0151100,HSP20-like chaperone domain containing protein,,,,response to endogenous stimulus,5.335881704
Os01g0151200,"Similar to Inner membrane protein ALBINO3, chloroplast precursor. Splice isoform 2",GO:0032977,membrane insertase activity,4342024,response to endogenous stimulus,4.296962008
Os01g0151200,"Similar to Inner membrane protein ALBINO3, chloroplast precursor. Splice isoform 2",GO:0032977,membrane insertase activity,107277437,response to endogenous stimulus,-1.0899305
Os01g0151200,"Similar to Inner membrane protein ALBINO3, chloroplast precursor. Splice isoform 2",GO:0032977,membrane insertase activity,4342025,response to endogenous stimulus,0.321353917
Os01g0151400,Similar to Gamma-glutamyl transferase,GO:0006749,glutathione metabolic process,4336040,response to endogenous stimulus,1.3538488
Os01g0151400,,,,4336041,response to endogenous stimulus,1.363199711
Os01g0151400,Similar to Gamma-glutamyl transferase,GO:0006749,glutathione metabolic process,4336042,response to endogenous stimulus,2.153850023
Os01g0151600,Conserved hypothetical protein,,,4326163,response to endogenous stimulus,4.096090388
Os01g0151600,Conserved hypothetical protein,,,4326164,response to endogenous stimulus,2.319775118
Os01g0151600,,,,9268327,response to endogenous stimulus,1.892605539
Os01g0151600,Conserved hypothetical protein,,,4326129,response to endogenous stimulus,-2.498483501
Os01g0151700,Similar to Short-chain dehydrogenase Tic32,GO:0055114,oxidation-reduction process,4342214,response to endogenous stimulus,2.43078882
Os01g0151900,Pentatricopeptide repeat domain containing protein,GO:0022626,cytosolic ribosome,,response to endogenous stimulus,2.921075314
Os01g0152000,"Protein kinase, core domain containing protein",GO:0005524,ATP binding,,response to endogenous stimulus,4.683542816
Os01g0152100,"F-box domain, Skp2-like domain containing protein",GO:0005515,protein binding,4349299,response to endogenous stimulus,1.310887019
Os01g0152200,"F-box domain, Skp2-like domain containing protein",GO:0005515,protein binding,,response to endogenous stimulus,1.650489722
Os01g0152300,Similar to Histone H2B.1,GO:0046982,protein heterodimerization activity,4328564,response to endogenous stimulus,6.734147235
Os01g0152500,Hypothetical conserved gene,GO:0003676,nucleic acid binding,,response to endogenous stimulus,-1.566133395
Os01g0152600,"Protein kinase, catalytic domain domain containing protein",GO:0005524,ATP binding,,response to endogenous stimulus,-1.848330043
Os01g0152687,,,,,response to endogenous stimulus,7.215327682
Os01g0152700,,,,4328560,response to endogenous stimulus,5.771744927
Os01g0152800,"Protein kinase, core domain containing protein",GO:0005524,ATP binding,4333432,response to endogenous stimulus,5.098451969
Os01g0152900,Histon H2,GO:0046982,protein heterodimerization activity,4349300,response to endogenous stimulus,7.469089495
Os01g0153000,"Protein kinase, catalytic domain domain containing protein",GO:0005524,ATP binding,,response to endogenous stimulus,7.518457704
Os01g0153100,Similar to Histone H2B-3 (Fragment),GO:0046982,protein heterodimerization activity,4328561,response to endogenous stimulus,2.571168323
Os01g0153200,,,,4349302,response to endogenous stimulus,-2.233663534
Os01g0153200,Hypothetical conserved gene,,,4349303,response toOsmotic stress,2.659239913
Os01g0153200,Hypothetical conserved gene,,,4349304,response toOsmotic stress,1.697056771
Os01g0153300,Similar to Histone H2B.1,GO:0046982,protein heterodimerization activity,4337019,response toOsmotic stress,4.284311765
Os01g0153400,"Similar to tRNA synthetase class II (D, K and N) family protein",GO:0006418,tRNA aminoacylation for protein translation,4330544,response toOsmotic stress,1.901698589
Os01g0153500,Protein of unknown function DUF674 domain containing protein,,,,response toOsmotic stress,-2.481999605
Os01g0153500,Protein of unknown function DUF674 domain containing protein,,,,response toOsmotic stress,2.21472732
Os01g0153600,Protein of unknown function DUF674 domain containing protein,,,4349306,response toOsmotic stress,-1.15735818
Os01g0153700,Conserved hypothetical protein,,,4343119,response toOsmotic stress,-2.199724114
Os01g0153800,Similar to gibberellin receptor GID1L2,GO:0016787,hydrolase activity,9266752,response toOsmotic stress,1.117510755
Os01g0153900,Hypothetical conserved gene,,,,response toOsmotic stress,3.250842529
Os01g0153950,Protein of unknown function DUF674 domain containing protein,GO:0016021,integral component of membrane,4349311,response toOsmotic stress,3.814968017
Os01g0154000,Conserved hypothetical protein,,,4344168,response toOsmotic stress,-1.511585093
Os01g0154100,Protein of unknown function DUF674 domain containing protein,,,,response toOsmotic stress,3.868536357
Os01g0154200,Protein of unknown function DUF674 domain containing protein,,,,response toOsmotic stress,4.761639719
Os01g0154300,,,,4328296,response toOsmotic stress,5.335881704
Os01g0154500,Protein of unknown function DUF674 domain containing protein,,,9268870,response toOsmotic stress,1.363199711
Os01g0154600,Protein of unknown function DUF674 domain containing protein,,,4333146,response toOsmotic stress,2.43078882
Os01g0154600,Protein of unknown function DUF674 domain containing protein,,,4333147,response toOsmotic stress,3.100435228
Os01g0155000,Alpha/beta hydrolase fold-3 domain containing protein,GO:0016787,hydrolase activity,9271648,response toOsmotic stress,4.683542816
Os01g0155200,Similar to H0525E10.8 protein,GO:0048544,recognition of pollen,,response toOsmotic stress,4.61922132
Os01g0155300,Similar to dirigent-like protein,GO:0048046,apoplast,,response toOsmotic stress,1.650489722
Os01g0155300,Similar to dirigent-like protein,GO:0048046,apoplast,4349313,response toOsmotic stress,6.734147235
Os01g0155400,Conserved hypothetical protein,,,4328373,response toOsmotic stress,-1.566133395
Os01g0155400,Conserved hypothetical protein,,,4334821,response toOsmotic stress,-2.187968652
Os01g0155400,Conserved hypothetical protein,,,4349314,response toOsmotic stress,2.571168323
Os01g0155500,"Protein kinase, catalytic domain domain containing protein",GO:0009506,plasmodesma,4333657,response to hormone,2.659239913
Os01g0155600,Similar to Splicing factor RSZ33,GO:0003723,RNA binding,4325395,response to hormone,0.710987695
Os01g0155600,Similar to Splicing factor RSZ33,GO:0003723,RNA binding,9272186,response to hormone,1.697056771
Os01g0155800,Conserved hypothetical protein,,,4346302,response to hormone,4.284311765
Os01g0156000,Similar to Myb family DNA-binding protein,GO:0003677,DNA binding,4333070,response to hormone,2.20815339
Os01g0156000,Similar to Myb family DNA-binding protein,GO:0003677,DNA binding,4333070,response to hormone,-1.74799846
Os01g0156300,Similar to Cappuccino protein,,,4332971,response to hormone,-2.186093275
Os01g0157200,Conserved hypothetical protein,,,4332912,response to hormone,3.149867659
Os01g0157200,,,,4332912,response to hormone,-1.537915589
Os01g0157200,Conserved hypothetical protein,,,,response to hormone,2.21472732
Os01g0157400,Conserved hypothetical protein,,,,response to hormone,1.844013208
Os01g0157500,Protein of unknown function DUF1110 domain containing protein,,,,response to hormone,1.993478077
Os01g0157600,Conserved hypothetical protein,,,4333120,response to hormone,-1.15735818
Os01g0157700,"Glycosyl transferase, family 43 domain containing protein",GO:0015018,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity,4349118,response to hormone,1.117510755
Os01g0157800,"Heat shock protein DnaJ, N-terminal domain containing protein",GO:0030150,protein import into mitochondrial matrix,4323890,response to hormone,3.250842529
Os01g0157900,Protein of unknown function Cys-rich family protein,,,4323890,response to hormone,1.104343922
Os01g0157900,,,,4323890,response to hormone,-1.743843876
Os01g0157900,Protein of unknown function Cys-rich family protein,,,4323891,response to hormone,3.868536357
Os01g0158000,Importin alpha-2 subunit,GO:0005643,nuclear pore,4325103,response to hormone,5.335881704
Os01g0158100,Pentatricopeptide repeat containing protein,GO:0005515,protein binding,4344438,response to hormone,4.296962008
Os01g0158100,Pentatricopeptide repeat containing protein,GO:0005515,protein binding,4344439,response to hormone,-1.0899305
Os01g0158200,Similar to Serine carboxypeptidase II-1 precursor (EC 3.4.16.6) (CP-MII.1) (Fragment),GO:0004185,serine-type carboxypeptidase activity,4330619,response to hormone,0.321353917
Os01g0158400,Galactose-binding like domain containing protein,GO:0030246,carbohydrate binding,4333470,response to hormone,1.3538488
Os01g0158500,Similar to arginyl-tRNA synthetase,GO:0006420,arginyl-tRNA aminoacylation,4336181,response to hormone,1.363199711
Os01g0158600,"Leucine-rich repeat, N-terminal domain containing protein",GO:0016021,integral component of membrane,4334002,response to hormone,2.153850023
Os01g0158800,Similar to PHD finger protein,GO:0006355,"regulation of transcription, DNA-templated",4349315,response to hormone,4.096090388
Os01g0158900,"Zinc finger, NF-X1-type domain containing protein",GO:0010310,regulation of hydrogen peroxide metabolic process,4326194,response to hormone,2.319775118
Os01g0159000,"Similar to cDNA clone:J023049H21, full insert sequence",GO:0043565,sequence-specific DNA binding,,response to hormone,1.892605539
Os01g0159200,Similar to Fasciclin-like protein FLA18,GO:0009834,plant-type secondary cell wall biogenesis,4324143,response to hormone,-2.498483501
Os01g0159300,"Zinc finger, RING/FYVE/PHD-type domain containing protein",GO:0061630,ubiquitin protein ligase activity,4324144,response to hormone,2.43078882
Os01g0159400,"Similar to Acyl-coenzyme A oxidase 4, peroxisomal (EC 1.3.3.6) (AOX 4) (Short- chain acyl-CoA oxidase) (SAOX) (AtCX4) (G6p) (AtG6)",GO:0003995,acyl-CoA dehydrogenase activity,4324107,response to hormone,2.921075314
Os01g0159400,"Similar to Acyl-coenzyme A oxidase 4, peroxisomal (EC 1.3.3.6) (AOX 4) (Short- chain acyl-CoA oxidase) (SAOX) (AtCX4) (G6p) (AtG6)",GO:0003995,acyl-CoA dehydrogenase activity,4324108,response to hormone,4.683542816
Os01g0159500,Rapid ALkalinization Factor domain containing protein,GO:0005576,extracellular region,,response to hormone,1.310887019
Os01g0159600,Conserved hypothetical protein,,,4325124,response to hormone,1.650489722
Os01g0159600,Small hydrophilic plant seed protein family protein,GO:0009737,response to abscisic acid,4334638,response to hormone,6.734147235
Os01g0159800,Similar to DNA binding protein,GO:0006355,"regulation of transcription, DNA-templated",4324116,response to hormone,-1.566133395
Os01g0160100,Similar to Pyruvate decarboxylase isozyme 2 (EC 4.1.1.1) (PDC) (Fragment),GO:0016831,carboxy-lyase activity,,response to hormone,-1.848330043
Os01g0160200,"Leucine-rich repeat, N-terminal domain containing protein",GO:0016021,integral component of membrane,9270983,response to hormone,7.215327682
Os01g0160200,"Leucine-rich repeat, N-terminal domain containing protein",GO:0016021,integral component of membrane,4333453,response to hormone,5.771744927
Os01g0160700,"Leucine-rich repeat, N-terminal domain containing protein",GO:0016021,integral component of membrane,4330621,response to hormone,5.098451969
Os01g0160800,Similar to Protein synthesis inhibitor II (EC 3.2.2.22) (Ribosome-inactivating protein II) (rRNA N-glycosidase),GO:0017148,negative regulation of translation,4326747,response to hormone,7.469089495
Os01g0160900,,,,,response to hormone,7.518457704
Os01g0160900,,,,,response to hormone,2.571168323
Os01g0161200,Hypothetical protein,,,4340888,response to hormone,-2.233663534
Os01g0161300,Hypothetical conserved gene,GO:0016021,integral component of membrane,,response to abiotic stimulus,1.271964353
Os01g0162300,"Leucine-rich repeat, plant specific containing protein",GO:0016021,integral component of membrane,,response to abiotic stimulus,2.659239913
Os01g0162300,"Leucine-rich repeat, plant specific containing protein",GO:0016021,integral component of membrane,4344178,response to abiotic stimulus,1.697056771
Os01g0162400,Conserved hypothetical protein,,,4344087,response to abiotic stimulus,4.284311765
Os01g0162400,Conserved hypothetical protein,,,,response to abiotic stimulus,-1.87644396
Os01g0162400,Conserved hypothetical protein,,,4349318,response to abiotic stimulus,1.249502867
Os01g0162800,Hypothetical conserved gene,GO:0016021,integral component of membrane,,response to abiotic stimulus,1.901698589
Os01g0162900,Hypothetical protein,,,4324469,response to abiotic stimulus,2.273013695
Os01g0163000,"Leucine-rich repeat, N-terminal domain containing protein",GO:0016021,integral component of membrane,4324468,response to abiotic stimulus,-2.481999605
Os01g0163450,,,,,response to abiotic stimulus,3.149867659
Os01g0164300,Pollen Ole e 1 allergen/extensin domain containing protein,GO:0071944,cell periphery,4349320,response to abiotic stimulus,2.21472732
Os01g0164400,,,,4333019,response to abiotic stimulus,-1.15735818
Os01g0164400,Similar to TAF15b (TBP-ASSOCIATED FACTOR 15b); binding / nucleic acid binding / nucleotide binding / zinc ion binding,GO:0003723,RNA binding,4347999,response to abiotic stimulus,-2.199724114
Os01g0164500,Similar to ATP-dependent RNA helicase-like protein,GO:0004386,helicase activity,9268866,response to abiotic stimulus,1.117510755
Os01g0164500,Similar to ATP-dependent RNA helicase-like protein,GO:0004386,helicase activity,4333359,response to abiotic stimulus,3.250842529
Os01g0164600,Protein phosphatase 2C-related domain containing protein,GO:0004722,protein serine/threonine phosphatase activity,,response to abiotic stimulus,3.814968017
Os01g0164700,Uncharacterised protein family UPF0363 domain containing protein,GO:0045048,protein insertion into ER membrane,4329064,response to abiotic stimulus,2.609381895
Os01g0164800,Breast cancer type 2 susceptibility protein domain containing protein,GO:0000724,double-strand break repair via homologous recombination,4334311,response to abiotic stimulus,2.948349907
Os01g0164900,BRCA2 repeat containing protein,,,9268279,response to abiotic stimulus,3.597576496
Os01g0165000,"Transcription factor, Dehydration and salt stress toleranc",GO:0043565,sequence-specific DNA binding,4329202,response to abiotic stimulus,-1.511585093
Os01g0165000,"Transcription factor, Dehydration and salt stress toleranc",GO:0043565,sequence-specific DNA binding,,response to abiotic stimulus,1.62582174
Os01g0165100,Conserved hypothetical protein,,,4333416,response to abiotic stimulus,2.450543985
Os01g0165200,Kelch-type beta propeller domain containing protein,GO:0005515,protein binding,4346798,response to abiotic stimulus,3.868536357
Os01g0165600,Similar to H0323C08.17 protein,,,4347891,response to abiotic stimulus,4.761639719
Os01g0165800,DNA-binding HORMA domain containing protein,GO:0005515,protein binding,107275844,response to abiotic stimulus,5.335881704
Os01g0165800,DNA-binding HORMA domain containing protein,GO:0005515,protein binding,4336261,response to abiotic stimulus,1.969184432
Os01g0166100,Similar to Ca(2+)-dependent nuclease,GO:0004518,nuclease activity,4348611,response to abiotic stimulus,3.294277245
Os01g0166200,Hypothetical protein,,,4345402,response to abiotic stimulus,1.363199711
Os01g0166300,Similar to nuclease,GO:0046872,metal ion binding,4326399,response to abiotic stimulus,5.423313688
Os01g0166400,Similar to phosphatidylinositolglycan-related,GO:0017176,phosphatidylinositol N-acetylglucosaminyltransferase activity,,response to abiotic stimulus,-0.949645798
Os01g0166400,Similar to phosphatidylinositolglycan-related,GO:0017176,phosphatidylinositol N-acetylglucosaminyltransferase activity,,response to abiotic stimulus,2.43078882
Os01g0166500,Conserved hypothetical protein,,,4342646,response to abiotic stimulus,2.921075314
Os01g0166700,Saposin family protein,GO:0006629,lipid metabolic process,4334703,response to abiotic stimulus,3.100435228
Os01g0166700,Saposin family protein,GO:0006629,lipid metabolic process,4334703,response to abiotic stimulus,4.683542816
Os01g0166800,Similar to ETG1 (E2F TARGET GENE 1),GO:0006261,DNA-dependent DNA replication,4328040,response to abiotic stimulus,-2.342870375
Os01g0166800,Similar to ETG1 (E2F TARGET GENE 1),GO:0006261,DNA-dependent DNA replication,,response to abiotic stimulus,-1.214362547
Os01g0166800,Similar to ETG1 (E2F TARGET GENE 1),GO:0006261,DNA-dependent DNA replication,4328041,response to abiotic stimulus,4.61922132
Os01g0167100,Hypothetical protein,,,,response to abiotic stimulus,2.018598798
Os01g0167100,Hypothetical protein,,,,response to abiotic stimulus,1.650489722
Os01g0167100,Hypothetical protein,,,,response to abiotic stimulus,-1.072997827
Os01g0167400,Similar to Protein synthesis inhibitor II (EC 3.2.2.22) (Ribosome-inactivating protein II) (rRNA N-glycosidase),GO:0017148,negative regulation of translation,4327467,response to abiotic stimulus,6.734147235
Os01g0167400,Similar to Protein synthesis inhibitor II (EC 3.2.2.22) (Ribosome-inactivating protein II) (rRNA N-glycosidase),GO:0017148,negative regulation of translation,4327467,response to abiotic stimulus,-1.566133395
Os01g0167500,Protein of unknown function DUF250 domain containing protein,GO:0022857,transmembrane transporter activity,4348831,response to abiotic stimulus,-2.187968652
Os01g0167600,Hypothetical conserved gene,GO:0016021,integral component of membrane,4349323,response to abiotic stimulus,1.946849919
Os01g0167600,Hypothetical conserved gene,GO:0016021,integral component of membrane,4349324,response to abiotic stimulus,7.215327682
Os01g0167700,Conserved hypothetical protein,,,4334042,response to abiotic stimulus,5.771744927
Os01g0167750,Pentatricopeptide repeat domain containing protein,GO:0005515,protein binding,4334043,response to abiotic stimulus,5.098451969
Os01g0167750,Pentatricopeptide repeat domain containing protein,GO:0005515,protein binding,4334044,response to abiotic stimulus,7.469089495
Os01g0167800,Conserved hypothetical protein,,,4330073,response to abiotic stimulus,7.518457704
Os01g0167800,Conserved hypothetical protein,,,4330074,response to abiotic stimulus,2.571168323
Os01g0167800,Conserved hypothetical protein,,,4330075,response to abiotic stimulus,-1.090797329
Os01g0167900,KIP1-like domain containing protein,GO:0051015,actin filament binding,4333839,response to inorganic substance,1.642851714
Os01g0168000,Hypothetical protein,,,4339100,response to inorganic substance,1.697056771
Os01g0168100,KIP1-like domain containing protein,,,4334754,response to inorganic substance,4.284311765
Os01g0168100,KIP1-like domain containing protein,,,9269241,response to inorganic substance,1.901698589
Os01g0168100,,,,4337645,response to inorganic substance,3.149867659
Os01g0168200,Similar to Thioredoxin-like protein,GO:0006662,glycerol ether metabolic process,4327368,response to inorganic substance,2.21472732
Os01g0168200,Similar to Thioredoxin-like protein,GO:0006662,glycerol ether metabolic process,4349944,response to inorganic substance,4.631775453
Os01g0168300,Conserved hypothetical protein,GO:0016021,integral component of membrane,4334937,response to inorganic substance,-1.15735818
Os01g0168300,,,,4349944,response to inorganic substance,1.117510755
Os01g0168400,"Zinc finger, RING/FYVE/PHD-type domain containing protein",GO:0016021,integral component of membrane,4336321,response to inorganic substance,3.250842529
Os01g0168400,"Zinc finger, RING/FYVE/PHD-type domain containing protein",GO:0016021,integral component of membrane,9270984,response to inorganic substance,-2.060418088
Os01g0168500,WD40 repeat-like domain containing protein,GO:0032266,phosphatidylinositol-3-phosphate binding,4325673,response to inorganic substance,3.814968017
Os01g0168500,,,,,response to inorganic substance,3.597576496
Os01g0168600,Similar to predicted protein,GO:0016757,"transferase activity, transferring glycosyl groups",4324767,response to inorganic substance,-1.511585093
Os01g0168600,Similar to predicted protein,GO:0016757,"transferase activity, transferring glycosyl groups",,response to inorganic substance,3.868536357
Os01g0168600,Similar to predicted protein,GO:0016757,"transferase activity, transferring glycosyl groups",,response to inorganic substance,4.761639719
Os01g0168800,tRNA-Cys for anticodon GCA,,,4324815,response to inorganic substance,1.363199711
Os01g0169400,Similar to LOB domain protein 25,GO:0010199,organ boundary specification between lateral organs and the meristem,4324459,response to inorganic substance,2.921075314
Os01g0169500,Armadillo-type fold domain containing protein,,,4328042,response to inorganic substance,3.100435228
Os01g0169800,"Tryptophan aminotransferase, Indole-3-acetic acid (IAA) biosynthesi",GO:0016846,carbon-sulfur lyase activity,4334514,response to inorganic substance,4.683542816
Os01g0169900,Protein of unknown function DUF1421 family protein,,,4348448,response to inorganic substance,4.61922132
Os01g0169900,Protein of unknown function DUF1421 family protein,,,4348449,response to inorganic substance,6.734147235
Os01g0170000,Raffinose synthase family protein,GO:0047274,galactinol-sucrose galactosyltransferase activity,4346320,response to inorganic substance,-1.566133395
Os01g0170100,D111/G-patch domain containing protein,GO:0003676,nucleic acid binding,4328823,response to inorganic substance,-2.187968652
Os01g0170100,D111/G-patch domain containing protein,GO:0003676,nucleic acid binding,,response to inorganic substance,1.946849919
Os01g0170300,Serine/threonine protein kinase-related domain containing protein,GO:0005524,ATP binding,4324793,response to inorganic substance,7.215327682
